horizon,mase_aug,mase_base,mase_sn5,mase_sn7,mae_aug,mae_base,smape_aug,smape_base
h+1,2.5052986572015437,3.9276896031307134,2.140290273796357,2.273836986208609,909176.3303571428,1425363.9620535714,41.32951413796954,73.96276398964324
h+2,2.56324303309031,4.7919027939981484,2.1393061417962667,2.2166589170033633,930204.4241071428,1738988.1183035714,42.646386544568124,102.05601964481316
h+3,2.3165829564589306,5.017147678543214,2.082374105591043,2.153477642597567,840691.1428571428,1820729.796875,38.79049717521582,113.9685683524055
h+4,2.340983869715369,6.002795641717265,2.063380357989301,2.119574295194456,849546.2678571428,2178422.7991071427,39.480102065002285,162.46796978772068
h+5,2.4528012059002777,5.304221563240638,2.040548495587206,2.1320235649955985,890124.9330357143,1924909.3046875,42.487175112138374,133.35554540583715
h+6,2.299322289912647,5.184540544912308,2.092855111392005,2.178573008599869,834427.2232142857,1881476.8984375,43.959749121285654,141.08338744936384
h+7,2.1236989769315846,3.5342790902421957,2.012205493984606,2.032577026386475,770693.28125,1282594.7455357143,41.768668231072034,80.928688432742
