origin_date,model,horizon,mae,rmse,mape,smape
2025-11-26,naive,H+1,338500.0,338500.0,17.489020924825628,19.16489738145789
2025-11-26,naive,H+3,470833.3333333333,499934.0789877535,22.283262431178716,25.33859255201686
2025-11-26,naive,H+7,308500.0,357807.7596379694,16.645296840806,17.719455275670732
2025-11-26,seasonal_naive,H+1,88500.0,88500.0,4.572461896150865,4.679444811632518
2025-11-26,seasonal_naive,H+3,403666.6666666667,529076.3964999132,18.370478356348944,21.674297069476488
2025-11-26,seasonal_naive,H+7,326500.0,462050.82435346255,18.154305614347997,18.029495802865014
2025-11-26,moving_average_7,H+1,286357.14285714296,286357.14285714296,14.794995755987753,15.976885523562823
2025-11-26,moving_average_7,H+3,418690.47619047627,451167.12026494497,19.745771670590138,22.17598044159286
2025-11-26,moving_average_7,H+7,301051.02040816325,338266.9894069609,16.72233840379093,17.27687386443441
2025-11-26,lstm_global,H+1,417654.625,417654.625,21.578642469646088,24.188407451137145
2025-11-26,lstm_global,H+3,1161764.6041666667,1317894.9649653703,54.394612228305704,83.37211788467059
2025-11-26,lstm_global,H+7,1083405.541294643,1192640.9707029916,62.31787473524194,100.62013033871489
2025-11-26,lstm_finetuned,H+1,417654.625,417654.625,21.578642469646088,24.188407451137145
2025-11-26,lstm_finetuned,H+3,1161764.6041666667,1317894.9649653703,54.394612228305704,83.37211788467059
2025-11-26,lstm_finetuned,H+7,1083405.541294643,1192640.9707029916,62.31787473524194,100.62013033871489
2025-12-05,naive,H+1,227500.0,227500.0,14.35784159040707,13.396143088473428
2025-12-05,naive,H+3,519166.6666666667,560883.4549173295,43.74115476009784,34.501030912514146
2025-12-05,naive,H+7,745714.2857142857,834707.3909888593,96.2952378804825,56.21437014663788
2025-12-05,seasonal_naive,H+1,351000.0,351000.0,22.152098453770904,19.943181818181817
2025-12-05,seasonal_naive,H+3,775000.0,852379.3169710302,65.64313601123784,46.48649461988108
2025-12-05,seasonal_naive,H+7,711214.2857142857,819767.2796941476,88.37302236269845,53.45153199003183
2025-12-05,moving_average_7,H+1,169000.0,169000.0,10.665825181445252,10.12582384661474
2025-12-05,moving_average_7,H+3,460666.6666666667,507217.9018922735,39.100504896154284,31.328035733489816
2025-12-05,moving_average_7,H+7,687214.2857142857,782885.756124645,89.95789162440734,53.2739614606767
2025-12-05,lstm_global,H+1,106575.875,106575.875,6.726151782896812,6.9602295860962755
2025-12-05,lstm_global,H+3,386258.0520833333,452204.1044537428,33.39541999128994,44.91015927650327
2025-12-05,lstm_global,H+7,426580.78878348216,480342.0369224523,47.87511456543084,71.68724366279687
